,woiid,PlayerName,TeamID,ShortName,Way,TOTMIN,Calc-AAV,Contract.ID,ElgEffSn,EffSn,Contract.Length,Year,Written.AAV,DetailID,NHL.Salary,Signing.Bonus,NDC,NTC,Retired,BoughtOut,slid,BonusElg,MinorSal,JuniorSal,MinimumSal,Source,FAStatus,ContractStatus,NHLExpr,YrsPro,WhereAbt,RtrStatus,AgeELFA,pos,BonusID,BonusMax,BonusMet,BonusDesc,TotalComp,Name,Age,aAAV
1,abbotsp88,Spencer Abbott &abbotsp88,NA,NA,TWO,70000,925000,xabbotsp88-1,NULL,2013,1,2013,NA,abbotsp88-1-1,832500,92500,,,,,,TRUE,70000,0,70000,war-on-ice.com,NULL,,,,,,,R,NA,850000,0,NA,925000,Spencer Abbott,24,925000
2,abbotsp88,Spencer Abbott &abbotsp88,NA,NA,TWO,90000,650000,xabbotsp88-2014,2014,2014,1,2014,0,5807,650000,0,,,,,,FALSE,90000,0,,war-on-ice.com,RFA,,,,,,,R,NA,0,0,NA,650000,Spencer Abbott,25,650000
3,abbotsp88,Spencer Abbott &abbotsp88,NA,NA,TWO,300000,575000,xabbotsp88-2015,NULL,2015,1,2015,NA,2417,575000,0,,,,,,FALSE,3E+05,0,350000,war-on-ice.com,UFA,,,,,,,R,NA,0,0,NA,575000,Spencer Abbott,26,575000
4,abdelju87,Justin Abdelkader &abdelju87,NA,NA,TWO,177500,740000,xabdelju87-1,NULL,2008,3,2008,NA,abdelju87-1-1,850000,0,,,,,,FALSE,55000,0,55000,war-on-ice.com,NULL,,,,,,,RL,NA,0,0,NA,850000,Justin Abdelkader,20,740000
5,abdelju87,Justin Abdelkader &abdelju87,NA,NA,TWO,177500,740000,xabdelju87-1,NULL,2008,3,2009,NA,abdelju87-1-2,660000,0,,,,,,TRUE,60000,0,60000,war-on-ice.com,NULL,,,,,,,RL,NA,(non-zero),0,NA,660000,Justin Abdelkader,21,740000
6,abdelju87,Justin Abdelkader &abdelju87,NA,NA,TWO,177500,740000,xabdelju87-1,NULL,2008,3,2010,NA,abdelju87-1-3,710000,0,,,,,,TRUE,62500,0,62500,war-on-ice.com,NULL,,,,,,,RL,NA,(non-zero),0,NA,710000,Justin Abdelkader,22,740000
7,abdelju87,Justin Abdelkader &abdelju87,NA,NA,ONE,0,787500,xabdelju87-2,NULL,2011,2,2011,NA,abdelju87-2-1,750000,0,,,,,,FALSE,0,0,750000,war-on-ice.com,NULL,,,,,,,RL,NA,0,0,NA,750000,Justin Abdelkader,23,787500
8,abdelju87,Justin Abdelkader &abdelju87,NA,NA,ONE,0,787500,xabdelju87-2,NULL,2011,2,2012,NA,abdelju87-2-2,825000,0,,,,,,FALSE,0,0,825000,war-on-ice.com,NULL,,,,,,,RL,NA,0,0,NA,825000,Justin Abdelkader,24,787500
9,abdelju87,Justin Abdelkader &abdelju87,NA,NA,ONE,0,1800000,xabdelju87-2013,NULL,2013,4,2013,NA,3484,1150000,250000,,,,,,FALSE,0,0,1400000,war-on-ice.com,UFA,,,,,,,RL,NA,0,0,NA,1400000,Justin Abdelkader,25,1800000
10,abdelju87,Justin Abdelkader &abdelju87,NA,NA,ONE,0,1800000,xabdelju87-2013,NULL,2013,4,2014,NA,3485,1550000,0,,,,,,FALSE,0,0,1550000,war-on-ice.com,UFA,,,,,,,RL,NA,0,0,NA,1550000,Justin Abdelkader,26,1800000
